Phi/M,mu-0,mu-0.9M,mu-1M,mu-1.1M
-2,0.0848826363156775,0.0848826363156775,0.0848826363156775,0.0848826363156775
-1.99,0.081091523050333,0.081091523050333,0.081091523050333,0.081091523050333
-1.98,0.0773574498025078,0.0773574498025078,0.0773574498025078,0.0773574498025078
-1.97,0.0736801590595045,0.0736801590595045,0.0736801590595045,0.0736801590595045
-1.96,0.0700593913987655,0.0700593913987655,0.0700593913987655,0.0700593913987655
-1.95,0.0664948854878742,0.0664948854878742,0.0664948854878742,0.0664948854878742
-1.94,0.0629863780845549,0.0629863780845549,0.0629863780845549,0.0629863780845549
-1.93,0.0595336040366723,0.0595336040366723,0.0595336040366723,0.0595336040366723
-1.92,0.056136296282232,0.056136296282232,0.056136296282232,0.056136296282232
-1.91,0.0527941858493801,0.0527941858493801,0.0527941858493801,0.0527941858493801
-1.9,0.0495070018564034,0.0495070018564034,0.0495070018564034,0.0495070018564034
-1.89,0.0462744715117297,0.0462744715117297,0.0462744715117297,0.0462744715117297
-1.88,0.0430963201139268,0.0430963201139268,0.0430963201139268,0.0430963201139268
-1.87,0.039972271051704,0.039972271051704,0.039972271051704,0.039972271051704
-1.86,0.0369020458039107,0.0369020458039107,0.0369020458039107,0.0369020458039107
-1.85,0.0338853639395372,0.0338853639395372,0.0338853639395372,0.0338853639395372
-1.84,0.0309219431177145,0.0309219431177145,0.0309219431177145,0.0309219431177145
-1.83,0.0280114990877142,0.0280114990877142,0.0280114990877142,0.0280114990877142
-1.82,0.0251537456889486,0.0251537456889486,0.0251537456889486,0.0251537456889486
-1.81,0.0223483948509707,0.0223483948509707,0.0223483948509707,0.0223483948509707
-1.8,0.0195951565934742,0.0195951565934742,0.0195951565934742,0.0195951565934742
-1.79,0.0168937390262934,0.0168937390262934,0.0168937390262934,0.0168937390262934
-1.78,0.0142438483494036,0.0142438483494036,0.0142438483494036,0.0142438483494036
-1.77,0.0116451888529203,0.0116451888529203,0.0116451888529203,0.0116451888529203
