T/M,speed of sound squared
0.1,0.129136703654937
0.12,0.143649338874844
0.14,0.159761069227483
0.16,0.174774773284049
0.18,0.188976848054385
0.2,0.202644130811815
0.22,0.21557153951762
0.24,0.227784560787584
0.26,0.239267529772646
0.28,0.250090650907374
0.3,0.260266414018528
0.32,0.269835175849306
0.34,0.278840503425624
0.36,0.287324256171509
0.38,0.295332757944737
0.4,0.302899352423101
0.42,0.310073829844142
0.44,0.316892626650468
0.46,0.32339892555676
0.48,0.329629373280335
0.5,0.335632182175531
0.52,0.341452564151633
0.54,0.347140458684229
0.56,0.352766187152549
0.58,0.358400837560229
0.6,0.364160809867132
0.62,0.370171035890024
0.64,0.376655569815696
0.66,0.383905277215365
0.68,0.392351548129382
0.7,0.402575981830099
0.72,0.415175120754815
0.74,0.430334956345543
0.76,0.447000969511031
0.78,0.462778732127808
0.8,0.475378543237676
0.82,0.484166246915699
0.84,0.48982445422095
0.86,0.493360726151705
0.88,0.495573401388502
0.9,0.496979438908832
0.92,0.497892509606501
0.94,0.498500005717705
0.96,0.49891318336651
0.98,0.499200029050064
1,0.499403010540319
1.02,0.499549283513638
1.04,0.499656157993019
1.06,0.499735353555204
1.08,0.499794818154329
1.1,0.499839907877067
1.12,0.499874442769824
1.14,0.499901135751229
1.16,0.499921909171506
1.18,0.49993828794205
1.2,0.499951080858348
1.22,0.499961406246512
1.24,0.499969444878308
1.26,0.499975998562549
1.28,0.499981263503451
1.3,0.499985428368233
1.32,0.499988981522066
1.34,0.499991633502149
1.36,0.499993905333415
1.38,0.499995807247764
1.4,0.49999718392267
1.42,0.499998503704065
1.44,0.499999320448104
1.46,0.500000206376659
1.48,0.500000823113315
1.5,0.500001337381313
1.52,0.500001781986724
1.54,0.50000205571805
1.56,0.500002308948838
1.58,0.500002434442726
1.6,0.500002574501659
1.62,0.500002742433261
1.64,0.500002826002578
1.66,0.500002835894772
1.68,0.500002901869721
1.7,0.500002791837056
1.72,0.500002868335424
1.74,0.500002783688528
1.76,0.500002775750611
1.78,0.500002733078714
1.8,0.500002771799891
1.82,0.500002561097593
1.84,0.500002546945403
1.86,0.500002618192544
1.88,0.50000245551628
1.9,0.500002382274605
1.92,0.50000229387364
1.94,0.5000022941535
1.96,0.500002180214167
1.98,0.500002155382783
