T/M,2m,M_sigma,M_phi
0.01,2.25620698928833,2.25673389434814,0.118293333053589
0.02,2.25620698928833,2.25673389434814,0.118293333053589
0.03,2.25620698928833,2.25673389434814,0.118293333053589
0.04,2.25620698928833,2.25673389434814,0.118293333053589
0.05,2.25620698928833,2.25673389434814,0.118293333053589
0.06,2.25620698928833,2.25673389434814,0.118293333053589
0.07,2.25620698928833,2.25673389434814,0.118293333053589
0.08,2.25620698928833,2.25673389434814,0.118294954299927
0.09,2.25620412826538,2.25673007965088,0.118280363082886
0.1,2.25620126724243,2.25672817230225,0.11829981803894
0.11,2.25619268417358,2.25671863555908,0.118345212936401
0.12,2.25616979598999,2.25669765472412,0.11842303276062
0.13,2.25612688064575,2.2566556930542,0.118611097335815
0.14,2.25604677200317,2.25657939910889,0.11893048286438
0.15,2.25591230392456,2.25644969940186,0.119450902938843
0.16,2.25570631027222,2.25625133514404,0.120285844802856
0.17,2.2554030418396,2.25595951080322,0.121501779556274
0.18,2.25497674942017,2.25554943084717,0.123186254501343
0.19,2.25438737869263,2.25498104095459,0.125311708450317
0.2,2.25364351272583,2.25426578521729,0.128276968002319
0.21,2.25268220901489,2.25334072113037,0.131837224960327
0.22,2.25148344039917,2.25218677520752,0.136110830307007
0.23,2.25002431869507,2.25078296661377,0.141159391403198
0.24,2.2482762336731,2.24910068511963,0.146978044509888
0.25,2.24621343612671,2.2471170425415,0.153553819656372
0.26,2.24381303787231,2.2448091506958,0.160876989364624
0.27,2.24104642868042,2.24215984344482,0.168879461288452
0.28,2.23789930343628,2.23915004730225,0.177572584152222
0.29,2.2343430519104,2.23575115203857,0.186863946914673
0.3,2.23036336898804,2.23194980621338,0.196740579605103
0.31,2.22594022750855,2.22773265838623,0.207147359848022
0.32,2.22105360031128,2.2230749130249,0.218027544021606
0.33,2.21568918228149,2.21796894073486,0.229351949691772
0.34,2.20983266830444,2.21239948272705,0.241084909439087
0.35,2.20346975326538,2.2063570022583,0.253190755844116
0.36,2.19658327102661,2.19982624053955,0.265620851516724
0.37,2.18916177749634,2.19279766082764,0.278349256515503
0.38,2.18119096755981,2.18525791168213,0.291345167160034
0.39,2.17266225814819,2.17720317840576,0.304589128494263
0.4,2.16356134414673,2.16862010955811,0.318047094345093
0.41,2.15387678146362,2.15950298309326,0.331696367263794
0.42,2.14359998703003,2.14984226226807,0.345520734786987
0.43,2.1327166557312,2.13963031768799,0.359491014480591
0.44,2.12122392654419,2.12886714935303,0.373602342605591
0.45,2.1091046333313,2.11753940582275,0.38782229423523
0.46,2.09635305404663,2.1056432723999,0.402142763137818
0.47,2.08296060562134,2.09317684173584,0.416545915603638
0.48,2.06891584396362,2.08013248443604,0.431013917922974
0.49,2.05421590805054,2.06651210784912,0.445541906356812
0.5,2.03884363174438,2.05230617523193,0.460099077224731
0.51,2.02279901504517,2.03751850128174,0.474687051773071
0.52,2.00607347488403,2.022141456604,0.48929123878479
0.53,1.98865556716919,2.00618076324463,0.503890562057495
0.54,1.97054243087769,1.98963260650635,0.518478536605835
0.55,1.95172834396362,1.97250461578369,0.533043813705445
0.56,1.93220472335815,1.95479488372803,0.547570180892944
0.57,1.91196870803833,1.93650913238525,0.56204628944397
0.58,1.89101457595825,1.91765880584717,0.576460790634155
0.59,1.86934232711792,1.89823436737061,0.590803956985474
0.6,1.84694910049438,1.87826824188232,0.605059576034546
0.61,1.82383489608765,1.85776615142822,0.619219541549683
0.62,1.79999971389771,1.83674335479736,0.633266019821167
0.63,1.77544355392456,1.81521129608154,0.647186040878296
0.64,1.75017786026001,1.79320812225342,0.660969877243042
0.65,1.72420263290405,1.77074146270752,0.674596452713013
0.66,1.69753217697144,1.7478551864624,0.688056039810181
0.67,1.6701807975769,1.72458553314209,0.701332426071167
0.68,1.64215993881226,1.70096874237061,0.714406156539917
0.69,1.61349248886108,1.67705631256104,0.727257776260376
0.7,1.58420133590698,1.6529016494751,0.739867830276489
0.71,1.55431795120239,1.62856388092041,0.752216863632202
0.72,1.52387666702271,1.60412311553955,0.764280557632446
0.73,1.49291753768921,1.5796480178833,0.77602972984314
0.74,1.46146059036255,1.55521106719971,0.787423849105835
0.75,1.4296088218689,1.53094959259033,0.798458051681519
0.76,1.39739370346069,1.50683307647705,0.80907883644104
0.77,1.36488389968872,1.483323097229,0.819248914718628
0.78,1.33214807510376,1.46019268035889,0.82891640663147
0.79,1.29926919937134,1.43769931793213,0.838032674789429
0.8,1.26632738113403,1.41596698760986,0.846532869338989
0.81,1.23340845108032,1.39514255523682,0.854347276687622
0.82,1.20060682296753,1.37535762786865,0.861391592025757
0.83,1.16801404953003,1.35676670074463,0.867573404312134
0.84,1.1357216835022,1.33949565887451,0.872779226303101
0.85,1.10210752487183,1.32205104827881,0.876011991500855
0.86,1.07240438461304,1.309401512146,0.879721403121948
0.87,1.04155111312866,1.29680919647217,0.8811270236969
0.88,1.01133871078491,1.2859582901001,0.88088870048523
0.89,0.981832981109619,1.27691173553467,0.878768110275269
0.9,0.953096866607666,1.26971340179443,0.874502611160278
0.91,0.92517614364624,1.26437854766846,0.867816591262817
0.92,0.898116588592529,1.26090526580811,0.858461999893188
0.93,0.871941089630127,1.25926113128662,0.846283197402954
0.94,0.846669673919678,1.25941371917725,0.831323957443237
0.95,0.822316646575928,1.26131534576416,0.813921499252319
